Instances,Approx Base Valeur,Approx Base Temps,Approx Coupe Valeur,Approx Coupe Temps,Approx Heur Valeur,Approx Heur Temps,Exacte Coupe Valeur,Exacte Coupe Temps
A_014_ABS1_15_1,40649,1044.88,40649,545.559,40649,411.521,40390,39413.2
A_014_ABS1_15_2,35971,791.208,35971,585.617,35971,339.7,35717,187351
A_014_ABS1_15_3,31451,1675.84,31451,656.935,31451,344.276,31107,18981.1
A_014_ABS1_15_4,37865,1502.72,37865,787.502,37875,489.05,37547,88901.9
A_014_ABS1_15_5,35665,2691.9,35665,738.844,35665,479.006,34952,439859
A_014_ABS2_15_1,40649,1045.39,40711,540.34,40890,402.545,40554,158766
A_014_ABS2_15_2,35971,959.377,35971,545.277,35971,338.721,35717,411676
A_014_ABS2_15_3,31451,1358.57,31451,744.279,31451,333.135,31323,7.02702e+06
A_014_ABS2_15_4,37865,1241.33,37865,785.494,37893,460.511,37759,596872
A_014_ABS2_15_5,35665,6983.67,35665,696.866,35665,472.752,35159,1.72126e+06
A_014_ABS3_15_1,41052,1711.43,41052,751.623,41345,372.756,41010,1.62209e+07
A_014_ABS3_15_2,35971,1224.5,36098,607.859,36143,305.239,35951,1.06427e+07
A_014_ABS3_15_3,31713,203388,31713,831.838,31756,331.949,31448,1.24099e+06
A_014_ABS3_15_4,38257,10560.4,38237,1102.14,38347,516.332,38000,1.23083e+06
A_014_ABS3_15_5,35990,38980.4,36174,854.44,37112,470.841,35768,4.55251e+06
A_014_ABS4_15_1,83482,2413.13,83571,993.084,84267,779.862,83482,576365
A_014_ABS4_15_2,71628,1151.79,71628,1152.94,71628,651.447,71516,3.10613e+07
A_014_ABS4_15_3,63735,4321,63735,2663.17,63735,950.95,63735,557806
A_014_ABS4_15_4,77466,2677.56,77466,1301.73,77466,965.399,76546,500491
A_014_ABS4_15_5,72448,4425.86,72448,1234.45,72448,684.483,71561,193544
A_014_ABS5_15_1,83709,55166.2,83709,1665.17,84527,705.596,83685,1.95758e+07
A_014_ABS5_15_2,71628,1374.16,71628,1061.27,71628,805.966,71516,3.05618e+07
A_014_ABS5_15_3,63735,2233.24,63879,930.556,63783,526.716,63735,585069
A_014_ABS5_15_4,77466,1506.16,77466,1068.49,77466,765.302,76546,404352
A_014_ABS5_15_5,72448,3313.09,72633,768.66,72536,595.043,71634,1.01608e+06
A_014_ABS6_15_1,83866,131128,83998,1478.32,84729,758.244,83866,1.24482e+07
A_014_ABS6_15_2,71759,1663.5,71877,1104.03,71881,620.615,71622,2.94762e+07
A_014_ABS6_15_3,64485,14755.8,64485,5612.51,64008,589.114,63960,1.79449e+07
A_014_ABS6_15_4,76865,8080.88,77025,985.191,77856,720.721,76865,1.00226e+07
A_014_ABS7_15_1,34099,1384.87,34099,1151.39,34099,981.188,32883,318527
A_014_ABS7_15_2,28813,928.156,28813,572.291,28813,517.548,28521,5.9578e+07
A_014_ABS7_15_3,25179,674.341,25179,645.174,24849,342.623,24250,313692
A_014_ABS7_15_4,30774,1253.57,30774,1322.4,30774,512.387,30071,380653
A_014_ABS7_15_5,29138,3186.71,29138,1155.79,29138,627.514,28206,176406
A_014_ABS8_15_1,34099,1410.64,34099,1338.91,34099,1164.11,32998,231804
A_014_ABS8_15_2,28925,1369.2,28924,779.271,28959,809.76,28521,1.0076e+07
A_014_ABS8_15_3,25179,1098.14,24999,744.547,25179,393.357,24272,71181.5
A_014_ABS8_15_4,30774,1148.28,30774,771.806,30774,546.406,30071,268529
A_014_ABS8_15_5,29138,2705.42,29138,786.216,29138,623.345,28279,412159
A_014_ABS25_15_1,240905,932.629,240905,469.618,240905,294.22,240619,314982
