Instances,Valeur,Temps
A_014_ABS1_15_1,40649,656.757
A_014_ABS1_15_2,35971,491.321
A_014_ABS1_15_3,31451,441.524
A_014_ABS1_15_4,37875,546.118
A_014_ABS1_15_5,35665,624.332
A_014_ABS2_15_1,40890,518.27
A_014_ABS2_15_2,35971,351.428
A_014_ABS2_15_3,31451,347.196
A_014_ABS2_15_4,37893,540.353
A_014_ABS2_15_5,35665,605.135
A_014_ABS3_15_1,41345,453.803
A_014_ABS3_15_2,36143,327.328
A_014_ABS3_15_3,31713,314
A_014_ABS3_15_4,38412,450.693
A_014_ABS3_15_5,37112,440.145
A_014_ABS4_15_1,84267,692.512
A_014_ABS4_15_2,71628,612.975
A_014_ABS4_15_3,63735,587.995
A_014_ABS4_15_4,77466,769.726
A_014_ABS4_15_5,72448,527.761
A_014_ABS5_15_1,84527,737.158
A_014_ABS5_15_2,71628,663.945
A_014_ABS5_15_3,63783,458.002
A_014_ABS5_15_4,77466,818.099
A_014_ABS5_15_5,72536,533.34
A_014_ABS6_15_1,84889,606.446
A_014_ABS6_15_2,71853,486.077
A_014_ABS6_15_3,63990,420.172
A_014_ABS6_15_4,77718,798.795
A_014_ABS6_15_5,73276,934.973
A_014_ABS7_15_1,34099,1088.28
A_014_ABS7_15_2,28813,615.546
A_014_ABS7_15_3,24849,337.295
A_014_ABS7_15_4,30774,608.833
A_014_ABS7_15_5,29138,732.713
A_014_ABS8_15_1,34099,1425.47
A_014_ABS8_15_2,28959,712.96
A_014_ABS8_15_3,25179,422.442
A_014_ABS8_15_4,30774,648.065
A_014_ABS8_15_5,29138,707.103
A_014_ABS9_15_1,34464,826.917
A_014_ABS9_15_2,28818,391.543
A_014_ABS9_15_3,25351,253.537
A_014_ABS9_15_4,31145,404.832
A_014_ABS9_15_5,30221,506.311
A_014_ABS10_15_1,73054,600.297
A_014_ABS10_15_2,61809,346.69
A_014_ABS10_15_3,54058,225.965
A_014_ABS10_15_4,66317,282.98
A_014_ABS10_15_5,62855,252.374
A_014_ABS11_15_1,73314,544.926
A_014_ABS11_15_2,62066,249.885
A_014_ABS11_15_3,54222,205.372
A_014_ABS11_15_4,66629,288.337
A_014_ABS11_15_5,62802,247.418
A_014_ABS12_15_1,73977,610.56
A_014_ABS12_15_2,62185,256.727
A_014_ABS12_15_3,54350,183.466
A_014_ABS12_15_4,66881,266.05
