Instances,Approx Base Valeur,Approx Base Temps,Approx Coupe Valeur,Approx Coupe Temps,Approx Heur Valeur,Approx Heur Temps
A_014_ABS1_15_1,40649,1121.75,40649,598.94,40649,427.475
A_014_ABS1_15_2,35971,769.4,35971,593.679,35971,329.815
A_014_ABS1_15_3,31451,1630.69,31451,725.389,31451,348.905
A_014_ABS1_15_4,37865,1478.22,37865,729.095,37875,484.9
A_014_ABS1_15_5,35665,2636.88,35665,733.309,35665,473.509
A_014_ABS2_15_1,40649,873.803,40711,509.42,40890,399.7
A_014_ABS2_15_2,35971,869.012,35971,529.156,35971,329.949
A_014_ABS2_15_3,31451,1355.22,31451,715.778,31451,339.663
A_014_ABS2_15_4,37865,1246.06,37865,858.224,37875,479.087
A_014_ABS2_15_5,35665,7168.59,35665,709.45,35665,480.509
A_014_ABS3_15_1,41052,1678.9,41052,663.062,41345,365.398
A_014_ABS3_15_2,35971,1197.07,36070,622.94,36143,301.632
A_014_ABS3_15_3,31713,154605,31713,913.693,31783,269.076
A_014_ABS3_15_4,38257,7201.43,38288,898.541,38338,388.375
A_014_ABS3_15_5,35990,27703.4,36174,752.966,37112,418.964
A_014_ABS4_15_1,83482,1814.64,83571,827.558,84267,652.227
A_014_ABS4_15_2,71628,904.858,71628,845.832,71628,538.159
A_014_ABS4_15_3,63735,1289.92,63735,799.495,63735,466.773
A_014_ABS4_15_4,77466,1123.89,77466,808.354,77466,658.153
A_014_ABS4_15_5,72448,2550.53,72448,603.473,72448,493.072
A_014_ABS5_15_1,83709,39164.7,83709,1197.95,84527,596.111
A_014_ABS5_15_2,71628,1070.96,71628,828.416,71628,546.858
A_014_ABS5_15_3,63735,1416.31,63957,965.007,63783,451.866
A_014_ABS5_15_4,77466,1084.65,77466,817.841,77466,677.397
A_014_ABS5_15_5,72448,2335.99,72633,599.761,72536,499.788
A_014_ABS6_15_1,83866,96188.7,84022,1323.74,84889,593.559
A_014_ABS6_15_2,71759,1295.67,71886,903.094,71881,546.248
A_014_ABS6_15_3,64485,8612.7,64485,868.61,64567,387.066
A_014_ABS6_15_4,76865,7996.51,77258,876.819,77856,787.782
A_014_ABS6_15_5,72927,29924.4,73577,813.005,73493,710.023
A_014_ABS7_15_1,34099,1325.26,34099,1177.89,34099,1010
A_014_ABS7_15_2,28813,867.928,28813,570.045,28813,411.949
A_014_ABS7_15_3,25179,577.213,25179,525.431,24849,318.268
A_014_ABS7_15_4,30774,996.404,30774,609.987,30774,463.05
A_014_ABS7_15_5,29138,1990.01,29138,678.446,29138,568.644
A_014_ABS8_15_1,34099,1352.79,34099,1254.47,34099,1020.32
A_014_ABS8_15_2,28925,1029.28,28924,525.992,28959,368.086
A_014_ABS8_15_3,25179,589.192,25179,518.702,25179,291.617
A_014_ABS8_15_4,30774,848.466,30774,640.444,30774,435.741
A_014_ABS8_15_5,29138,1864.95,29138,604.506,29138,511.889
A_014_ABS9_15_1,34099,1379.48,34164,1094.33,34459,860.303
A_014_ABS9_15_2,29013,1575.03,28752,657.094,28818,396.502
A_014_ABS9_15_3,25402,2550.51,25402,626.765,25351,258.064
A_014_ABS9_15_4,30950,1505.69,30541,618.282,31145,365.484
A_014_ABS9_15_5,29310,39575.4,29526,665.227,30221,506.671
A_014_ABS10_15_1,72931,1944.17,72972,880.656,73054,607.128
A_014_ABS10_15_2,61809,577.558,61809,454.128,61809,349.959
A_014_ABS10_15_3,53922,1453.72,53958,694.501,54058,224.705
A_014_ABS10_15_4,66189,1074.13,66253,529.82,66317,327.754
A_014_ABS10_15_5,62297,30979.1,62602,613.532,62855,253.61
A_014_ABS11_15_1,73158,43382.4,73158,1297.98,73314,534.899
A_014_ABS11_15_2,61981,2464.14,61981,613.394,62066,243.823
A_014_ABS11_15_3,54151,117474,54151,1062.16,54222,207.812
A_014_ABS11_15_4,66493,75002.8,66493,1144.3,66629,283.941
A_014_ABS11_15_5,62642,902733,62642,759.317,62802,254.545
A_014_ABS12_15_1,73377,112190,73509,1293.65,74133,626.858
A_014_ABS12_15_2,62066,4437.89,62066,657.933,62185,259.527
A_014_ABS12_15_3,54151,25158.4,54234,1103.32,54336,188.312
A_014_ABS12_15_4,66580,35969.6,66644,1053.56,66897,265.834
A_014_ABS12_15_5,63001,2.08367e+06,63437,1007.27,63385,270.879
A_014_ABS13_15_1,44357,1089.54,44440,519.504,44903,365.95
A_014_ABS13_15_2,42408,1044.48,42408,514.162,42408,412.881
A_014_ABS13_15_3,35091,1172.46,35091,688.266,35091,383.811
A_014_ABS13_15_4,42660,1020.08,42660,662.965,42759,423.799
A_014_ABS13_15_5,40162,1415.11,40162,675.848,39812,391.893
A_014_ABS14_15_1,44809,25481.1,44809,879.603,45121,329.245
A_014_ABS14_15_2,42408,951.352,42408,527.927,42408,407.087
A_014_ABS14_15_3,35091,1414.39,35091,605.726,35091,387.983
A_014_ABS14_15_4,42660,998.842,42660,676.57,42661,406.176
A_014_ABS14_15_5,40162,6837.76,40414,606.863,39812,355.174
A_014_ABS15_15_1,45236,59198.7,45510,998.388,47302,407.098
A_014_ABS15_15_2,42408,919.588,42596,523.636,42596,393.324
A_014_ABS15_15_3,35496,36611.6,35574,753.798,35678,338.941
A_014_ABS15_15_4,43176,6536.93,42732,678.485,43223,411.67
A_014_ABS15_15_5,41543,92537.7,41803,684.755,41945,271.678
A_014_ABS16_15_1,88770,1763.88,88945,822.474,89014,680.674
A_014_ABS16_15_2,75934,773.929,75934,676.944,76040,542.874
A_014_ABS16_15_3,66649,908.482,66649,684.064,66649,376.561
